,Ranking,Players,Atp_points,Ages,Turned Pro,Weight,height,W-L Year,W-L Career,Title Year,Title Career,Career High Date,Career High Rank,Year Price Money,Career Price Money,Aces,Double Faults,First Serves,First Serve Points Won,Second Serve Points Won,Break Points Faced,Break Points Saved,Service Games Played,Service Games Won,Total Service Points Won,1st Serve Return Points Won,2nd Serve Return Points Won,Break Points Opportunities,Break Points Converted,Return Games Played,Return Games Won,Return Points Won,Total Points Won
427,428,Andrew Paulson,103,21,,187lbs(85kg),"6'3""(191cm)",0-0,0-0,0,0,Career High 2022.11.28,147,"$9,123","$79,697",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
428,429,Stuart Parker,103,25,,173lbs(78kg),"6'1""(185cm)",0-0,0-0,0,0,Career High 2022.10.17,346,"$21,377","$109,791",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
429,430,Matias Franco Descotte,102,28,,191lbs(87kg),"6'3""(191cm)",0-0,0-0,0,0,Career High 2019.08.12,285,"$7,098","$141,064",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
430,431,Andrey Chepelev,102,24,,167lbs(76kg),"5'10""(178cm)",0-0,0-0,0,0,Career High 2022.09.26,339,"$14,873","$99,963",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
431,432,Govind Nanda,101,22,,155lbs(70kg),"5'10""(178cm)",0-0,0-0,0,0,Career High 2022.10.03,339,"$2,064","$143,713",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
432,433,Henrique Rocha,101,19,,176lbs(80kg),"5'11""(180cm)",0-0,0-0,0,0,Career High 2023.07.03,311,"$4,364","$39,688",0,2,61%,48%,62%,7,43%,9,56%,54%,39%,47%,6,17%,9,11%,41%,46%
433,434,Saba Purtseladze,101,21,2019,200lbs(91kg),"6'3""(191cm)",1-0,1-0,0,0,Career High 2023.06.19,424,"$12,779","$42,977",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
434,435,Ergi Kirkin,100,24,,165lbs(75kg),"5'11""(180cm)",1-0,2-2,0,0,Career High 2022.07.25,270,"$12,501","$116,379",7,7,54%,57%,44%,21,43%,23,48%,51%,15%,55%,6,67%,22,18%,34%,43%
435,436,Eric Vanshelboim,100,21,,192lbs(87kg),"6'2""(188cm)",0-0,0-0,0,0,Career High 2023.06.12,308,"$2,482","$66,266",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
436,437,Giovanni Oradini,100,25,,187lbs(85kg),"6'2""(188cm)",0-0,0-0,0,0,Career High 2023.01.09,352,"$10,342","$49,697",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
437,438,David Jorda Sanchis,100,29,,189lbs(86kg),"6'5""(196cm)",0-0,0-0,0,0,Career High 2023.06.26,433,"$13,457","$64,445",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
438,439,Ajeet Rai,99,24,,158lbs(72kg),"6'2""(188cm)",0-1,1-3,0,0,Career High 2023.04.10,282,"$5,117","$63,534",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
439,440,Hady Habib,99,24,,195lbs(88kg),"6'2""(188cm)",0-1,7-6,0,0,Career High 2022.07.25,355,"$12,217","$73,422",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
440,441,Leo Borg,99,20,,169lbs(77kg),"6'0""(183cm)",0-0,0-2,0,0,Career High 2023.06.26,436,"$12,689","$58,572",4,8,59%,55%,55%,14,43%,23,65%,55%,23%,40%,6,50%,24,13%,30%,43%
441,442,Juan Bautista Otegui,97,24,,184lbs(83kg),"6'3""(191cm)",0-0,0-0,0,0,Career High 2022.12.19,397,"$4,876","$55,408",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
442,443,Mohamed Safwat,97,32,2008,182lbs(83kg),"5'11""(180cm)",1-1,13-25,0,0,Career High 2020.02.10,130,"$14,413","$868,023",76,38,64%,70%,48%,113,61%,183,76%,62%,23%,43%,63,38%,188,13%,30%,46%
443,444,Robin Bertrand,96,20,,154lbs(70kg),"5'10""(178cm)",0-0,0-0,0,0,Career High 2023.02.27,416,"$9,629","$46,156",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
444,445,Carlos Lopez Montagud,95,23,,169lbs(77kg),"5'11""(180cm)",0-0,0-0,0,0,Career High 2023.01.30,331,"$1,460","$60,518",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
445,446,Lucas Catarina,95,26,2015,176lbs(80kg),"6'1""(185cm)",1-0,5-8,0,0,Career High 2018.06.11,341,"$20,141","$214,690",8,20,58%,62%,45%,45,53%,55,62%,55%,29%,45%,23,48%,53,21%,34%,46%
446,447,Alex Barrena,95,20,,149lbs(68kg),"5'9""(175cm)",0-0,0-0,0,0,Career High 2023.06.12,437,"$11,645","$31,853",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
447,448,Kris Van Wyk,94,26,,171lbs(78kg),"6'1""(185cm)",0-2,0-2,0,0,Career High 2023.06.26,443,"$7,538","$26,767",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
448,449,Julian Ocleppo,93,25,,198lbs(90kg),"6'3""(191cm)",0-0,0-1,0,0,Career High 2020.02.24,167,"$4,584","$141,436",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
449,450,Jay Clarke,93,24,2016,184lbs(83kg),"6'0""(183cm)",0-0,2-11,0,0,Career High 2019.07.22,153,"$16,198","$794,246",68,53,53%,69%,53%,113,63%,169,75%,62%,24%,41%,57,33%,174,11%,30%,47%
450,451,Aidan Mayo,93,20,,165lbs(75kg),"6'0""(183cm)",0-0,0-0,0,0,Career High 2023.06.19,432,"$9,577","$22,750",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
451,452,Federico Arnaboldi,93,23,,173lbs(78kg),"6'1""(185cm)",0-0,0-0,0,0,Career High 2023.05.22,436,"$7,343","$59,053",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
452,453,Sandro Kopp,93,23,,167lbs(76kg),"6'1""(185cm)",0-0,0-0,0,0,Career High 2023.06.26,352,"$1,999","$56,653",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
453,454,Rubin Statham,93,36,2002,184lbs(83kg),"5'11""(180cm)",0-0,30-28,0,0,Career High 2013.02.25,279,"$21,915","$365,979",37,26,65%,68%,43%,66,61%,90,71%,59%,24%,47%,44,27%,92,13%,33%,47%
454,455,Paul Jubb,92,23,2020,158lbs(72kg),"5'11""(180cm)",0-0,0-4,0,0,Career High 2022.09.12,196,"$19,050","$306,159",12,19,59%,68%,45%,32,31%,65,66%,59%,26%,44%,32,25%,67,12%,33%,45%
455,456,Elliot Benchetrit,92,24,2016,194lbs(88kg),"6'4""(193cm)",1-1,3-9,0,0,Career High 2020.02.10,198,"$17,675","$562,173",32,26,56%,64%,46%,72,46%,102,62%,56%,24%,43%,46,28%,100,13%,31%,44%
456,457,Prajnesh Gunneswaran,92,33,2010,176lbs(80kg),"6'2""(188cm)",1-0,11-28,0,0,Career High 2019.04.22,75,"$11,020","$959,286",136,78,61%,68%,48%,192,51%,323,71%,60%,23%,46%,116,34%,328,12%,32%,46%
457,458,Alexandr Cozbinov,92,28,2019,176lbs(80kg),"6'2""(188cm)",0-0,0-3,0,0,Career High 2023.06.26,452,"$7,537","$85,883",4,5,66%,56%,38%,30,43%,34,50%,50%,30%,46%,20,40%,35,23%,36%,44%
458,459,Mats Moraing,91,31,2013,185lbs(84kg),"6'6""(198cm)",0-0,1-2,0,0,Career High 2022.05.23,115,"$10,819","$605,574",27,8,55%,66%,45%,27,52%,38,66%,57%,31%,54%,32,31%,38,26%,40%,48%
459,460,Feliciano Lopez,90,41,1997,194lbs(88kg),"6'2""(188cm)",3-4,506-490,0,7,Career High 2015.03.02,12,"$85,730","$18,706,677","10,261","3,402",58%,76%,51%,"6,004",65%,"12,704",84%,66%,26%,44%,"5,504",35%,"12,757",15%,33%,50%
460,461,Jorge Panta,90,27,,168lbs(76kg),"0'1""(3cm)",1-0,3-5,0,0,Career High 2022.10.24,291,"$3,440","$99,154",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
461,462,Adria Soriano Barrera,89,24,,180lbs(82kg),"6'3""(191cm)",0-0,0-0,0,0,Career High 2023.07.03,462,"$7,317","$31,754",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
462,463,Daniel Merida,89,18,,176lbs(80kg),"6'2""(188cm)",0-0,0-0,0,0,Career High 2023.06.19,439,"$12,987","$40,372",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
463,464,Tristan Lamasine,89,30,2010,152lbs(69kg),"6'0""(183cm)",0-0,3-6,0,0,Career High 2015.08.03,181,"$14,078","$567,156",28,23,64%,64%,52%,74,61%,102,72%,59%,31%,49%,48,48%,100,23%,38%,49%
464,465,Naoki Nakagawa,88,26,,165lbs(75kg),"5'11""(180cm)",0-0,0-0,0,0,Career High 2022.10.24,415,"$7,975","$76,363",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
465,466,Enrico Dalla Valle,88,25,,198lbs(90kg),"6'5""(196cm)",0-0,0-0,0,0,Career High 2019.08.12,404,"$13,145","$85,802",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
466,467,Juan Pablo Paz,88,28,,,"5'7""(170cm)",0-0,1-1,0,0,Career High 2017.05.08,248,"$5,462","$168,092",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
467,468,August Holmgren,87,25,2022,185lbs(84kg),"6'2""(188cm)",0-1,5-2,0,0,Career High 2023.05.22,410,"$8,040","$36,015",2,1,58%,48%,22%,8,38%,7,29%,37%,16%,19%,0,0%,7,0%,17%,28%
468,469,Martyn Pawelski,86,18,,,,0-0,0-0,0,0,Career High 2023.07.03,469,"$10,199","$18,112",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
469,470,Philip Sekulic,86,19,,180lbs(82kg),"6'3""(191cm)",0-0,0-0,0,0,Career High 2023.06.26,464,"$27,261","$69,344",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
470,471,Valerio Aboian,86,21,,160lbs(73kg),"6'0""(183cm)",0-0,0-0,0,0,Career High 2023.04.10,333,"$4,901","$43,130",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
471,472,Sebastian Gima,86,21,,165lbs(75kg),"0'0""(0cm)",0-0,0-0,0,0,Career High 2023.06.19,464,"$10,817","$38,433",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
472,473,Arthur Weber,85,31,,169lbs(77kg),"6'1""(185cm)",0-0,0-0,0,0,Career High 2023.06.19,467,"$6,787","$21,377",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
473,474,Facundo Juarez,85,25,,158lbs(72kg),"5'11""(180cm)",0-0,0-0,0,0,Career High 2022.10.17,436,"$1,842","$79,917",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
474,475,Marcello Serafini,85,20,,198lbs(90kg),"6'2""(188cm)",0-0,0-0,0,0,Career High 2023.07.03,363,"$2,189","$35,853",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
475,476,Ezekiel Clark,85,24,,155lbs(70kg),"5'7""(170cm)",0-0,0-0,0,0,Career High 2023.06.26,209,"$4,872","$65,846",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
476,477,Ethan Quinn,84,19,2023,180lbs(82kg),"6'3""(191cm)",0-0,0-0,0,0,Career High 2022.12.19,454,"$4,330","$71,206",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
477,478,Mateus Alves,84,22,2018,193lbs(88kg),"6'4""(193cm)",0-1,0-1,0,0,Career High 2022.04.18,395,"$26,075","$104,578",5,2,65%,63%,35%,9,56%,10,60%,53%,26%,53%,4,50%,10,20%,35%,45%
478,479,Rigele Te,84,25,,176lbs(80kg),"6'2""(188cm)",0-2,1-2,0,0,Career High 2018.10.22,395,"$7,633","$103,492",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
479,480,Lorenzo Rottoli,84,21,,140lbs(64kg),"0'0""(0cm)",0-0,0-0,0,0,Career High 2023.06.26,471,"$13,026","$31,680",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
480,481,Alfredo Perez,84,26,,175lbs(79kg),"6'4""(193cm)",0-0,0-0,0,0,Career High 2023.02.13,217,"$4,827","$47,891",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
481,482,Gonzalo Villanueva,84,28,,154lbs(70kg),"5'9""(175cm)",0-0,0-0,0,0,Career High 2022.10.10,278,"$1,900","$155,057",3,3,63%,64%,54%,3,33%,11,82%,60%,13%,49%,8,13%,11,9%,30%,45%
482,483,Stefanos Sakellaridis,84,18,,182lbs(83kg),"6'6""(198cm)",0-0,0-0,0,0,Career High 2023.07.03,447,"$3,915","$87,067",14,3,61%,65%,47%,23,61%,30,70%,58%,27%,44%,9,44%,30,13%,34%,47%
483,484,Ben Patael,83,26,,176lbs(80kg),"6'2""(188cm)",0-0,0-2,0,0,Career High 2022.08.22,380,"$1,016","$78,873",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
484,485,Orlando Luz,83,25,,172lbs(78kg),"5'11""(180cm)",0-0,1-1,0,0,Career High 2021.08.16,272,"$8,255","$233,794",4,3,51%,59%,52%,5,40%,10,70%,55%,13%,38%,3,0%,10,0%,24%,41%
485,486,Yuki Mochizuki,83,25,,132lbs(60kg),"5'8""(173cm)",0-0,0-0,0,0,Career High 2023.07.03,486,"$11,925","$65,508",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
486,487,Jurgen Briand,82,24,,154lbs(70kg),"5'10""(178cm)",0-0,0-0,0,0,Career High 2022.10.10,403,"$2,847","$40,028",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
487,488,Blake Ellis,82,24,,165lbs(75kg),"6'3""(191cm)",1-1,3-3,0,0,Career High 2019.02.11,217,"$4,767","$125,678",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
488,489,Leonardo Aboian,81,25,,162lbs(73kg),"5'9""(175cm)",0-0,0-0,0,0,Career High 2022.09.19,290,"$2,517","$50,654",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
489,490,Alex Rybakov,80,26,2019,170lbs(77kg),"6'1""(185cm)",0-1,0-1,0,0,Career High 2022.08.08,289,"$18,691","$152,873",7,2,76%,58%,64%,9,56%,14,71%,59%,23%,46%,6,17%,15,7%,30%,46%
490,491,Gabriele Piraino,80,19,,173lbs(78kg),"6'2""(188cm)",0-0,0-0,0,0,Career High 2023.04.24,478,"$10,628","$32,110",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
491,492,Peter Fajta,80,21,,178lbs(81kg),"6'1""(185cm)",0-0,0-0,0,0,Career High 2022.09.19,477,"$10,927","$37,891",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
492,493,Wilson Leite,79,31,2008,158lbs(72kg),"5'10""(178cm)",0-0,0-0,0,0,Career High 2014.04.14,341,"$6,568","$171,031",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
493,494,David Pichler,79,27,,158lbs(72kg),"5'10""(178cm)",0-0,0-0,0,0,Career High 2017.10.16,218,"$3,654","$139,916",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
494,495,Tristan McCormick,78,24,,205lbs(93kg),"6'5""(196cm)",0-0,0-0,0,0,Career High 2023.07.03,356,"$1,738","$23,765",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
495,496,Gabi Adrian Boitan,77,23,,180lbs(82kg),"6'1""(185cm)",0-0,1-1,0,0,Career High 2023.05.22,490,"$10,478","$29,501",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
496,497,Joao Domingues,77,29,2013,154lbs(70kg),,0-0,9-7,0,0,Career High 2020.02.24,150,"$8,501","$512,413",16,7,70%,62%,47%,92,62%,127,72%,58%,31%,47%,75,37%,130,22%,37%,47%
497,498,Fausto Tabacco,76,21,,176lbs(80kg),"6'0""(183cm)",0-0,0-0,0,0,Career High 2023.06.26,488,"$9,249","$28,527",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
498,499,Elmer Moller,76,20,,160lbs(73kg),"6'0""(183cm)",0-1,1-2,0,0,Career High 2023.06.26,489,"$10,141","$20,369",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
499,500,Jaimee Floyd Angele,76,23,,206lbs(93kg),"6'9""(206cm)",0-0,0-0,0,0,Career High 2022.08.29,807,$160,"$59,989",0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%
